quantity,pop,year,median,sd
logR,Stewart,2001,8.782970453,0.109337451
logR,Stewart,2002,7.048012936,0.31125944
logR,Stewart,2003,9.080815293,0.063762503
logR,Stewart,2004,8.268142654,0.121576312
logR,Stewart,2005,8.223466829,0.087206927
logR,Stewart,2006,8.292072082,0.084430585
logR,Stewart,2007,6.491541809,0.267106683
logR,Stewart,2008,8.00217309,0.13005691
logR,Stewart,2009,8.286470793,0.090951418
logR,Stewart,2010,7.587542344,0.146632244
logR,Stewart,2011,9.131694448,0.046089022
logR,Stewart,2012,8.303339934,0.137638887
logR,Stewart,2013,8.500366469,0.174152652
logR,Stewart,2014,8.707840754,0.336385213
logR,Stewart,2015,8.349197108,0.707357776
S,Stewart,1985,3923.079188,799.8280485
S,Stewart,1986,4987.1818,984.7753982
S,Stewart,1987,3611.790222,759.4016387
S,Stewart,1988,5900.449578,1464.23111
S,Stewart,1989,10270.21854,3163.05598
S,Stewart,1990,6093.912799,1977.978653
S,Stewart,1991,4471.981577,888.2266058
S,Stewart,1992,4464.673232,1099.903674
S,Stewart,1993,3368.494155,854.2871271
S,Stewart,1994,3247.463463,572.7281993
S,Stewart,1995,5917.60655,1135.128288
S,Stewart,1996,4112.210272,827.996624
S,Stewart,1997,4591.084107,837.8451735
S,Stewart,1998,6828.211279,1178.437598
S,Stewart,1999,2368.61788,576.6858314
S,Stewart,2000,1761.491617,362.4715208
S,Stewart,2001,3296.519074,711.8958401
S,Stewart,2002,2262.062652,437.613646
S,Stewart,2003,4184.37955,890.6011727
S,Stewart,2004,3696.130725,738.2967379
S,Stewart,2005,3059.668623,717.1732481
S,Stewart,2006,1743.157868,117.1240043
S,Stewart,2007,1841.537128,169.1681246
S,Stewart,2008,2432.968846,63.22487059
S,Stewart,2009,4946.181678,144.2135584
S,Stewart,2010,2005.950341,105.2377701
S,Stewart,2011,2529.508747,64.58485649
S,Stewart,2012,1839.499739,108.3589647
S,Stewart,2013,864.9511039,106.8659316
S,Stewart,2014,4078.976553,242.4890581
S,Stewart,2015,4076.608083,114.1472528
logR,Teslin,1985,8.225024593,0.628732266
logR,Teslin,1986,9.913106533,0.313890229
logR,Teslin,1987,9.941350297,0.335941827
logR,Teslin,1988,8.734215851,0.730350384
logR,Teslin,1989,9.797217053,0.467112005
logR,Teslin,1990,9.879183056,0.458161436
logR,Teslin,1991,8.961009637,0.682655068
logR,Teslin,1992,9.875530009,0.198911924
logR,Teslin,1993,9.639187362,0.282059886
logR,Teslin,1994,8.242420759,0.532830882
logR,Teslin,1995,10.02580751,0.187981866
logR,Teslin,1996,8.152700048,0.609810472
logR,Teslin,1997,8.871786388,0.366740901
logR,Teslin,1998,8.61188639,0.512948181
logR,Teslin,1999,9.840644306,0.183037316
logR,Teslin,2000,8.077623053,0.707808861
logR,Teslin,2001,9.631188376,0.326610872
logR,Teslin,2002,9.846261703,0.457241419
logR,Teslin,2003,9.720176067,0.193076418
logR,Teslin,2004,9.253104751,0.138326021
logR,Teslin,2005,8.867264485,0.150260631
logR,Teslin,2006,8.512984515,0.179887196
logR,Teslin,2007,9.536211748,0.082485316
logR,Teslin,2008,8.555349828,0.152508673
logR,Teslin,2009,8.742102334,0.113755887
logR,Teslin,2010,8.182196421,0.153797756
logR,Teslin,2011,10.05726902,0.080505114
logR,Teslin,2012,9.495293838,0.105956328
logR,Teslin,2013,8.883289075,0.198487424
logR,Teslin,2014,9.130180398,0.36907663
logR,Teslin,2015,9.51471028,0.800433755
S,Teslin,1985,7117.766133,1262.393712
S,Teslin,1986,7803.338695,1329.464799
S,Teslin,1987,3579.451338,803.7494217
S,Teslin,1988,6006.403398,959.4173823
S,Teslin,1989,10178.93032,2756.343955
S,Teslin,1990,5275.794945,1788.192942
S,Teslin,1991,5250.123714,992.9915909
S,Teslin,1992,6975.642297,1206.736416
S,Teslin,1993,5673.725315,1115.604144
S,Teslin,1994,4097.267383,806.7710599
S,Teslin,1995,7701.920231,1447.487638
S,Teslin,1996,8001.173023,1324.062056
S,Teslin,1997,5793.251608,1532.532162
S,Teslin,1998,6752.645552,789.3741878
S,Teslin,1999,4087.118073,870.512434
S,Teslin,2000,4247.446171,684.3371498
S,Teslin,2001,13974.27332,2342.884138
S,Teslin,2002,3577.800814,878.7512676
S,Teslin,2003,3974.1023,925.2572783
S,Teslin,2004,4250.873297,814.5408876
S,Teslin,2005,8840.014841,1282.30319
S,Teslin,2006,5866.167041,1131.592637
S,Teslin,2007,6410.944962,248.3322766
S,Teslin,2008,11868.64496,3466.041781
S,Teslin,2009,10472.94881,1519.129087
S,Teslin,2010,4482.975797,447.0408252
S,Teslin,2011,4665.701873,508.7639739
S,Teslin,2012,5311.939948,495.8478501
S,Teslin,2013,7700.685665,558.8928198
S,Teslin,2014,7361.542219,632.7491625
S,Teslin,2015,7423.454787,525.1351269
logR,UprLksMain,1985,9.500515011,0.356392697
logR,UprLksMain,1986,10.43585699,0.172618635
logR,UprLksMain,1987,8.021740238,0.721748273
logR,UprLksMain,1988,9.300476908,0.491624934
logR,UprLksMain,1989,10.21972493,0.20150401
logR,UprLksMain,1990,7.564502103,0.864502603
logR,UprLksMain,1991,10.09201709,0.140711795
logR,UprLksMain,1992,4.653079249,0.882265631
logR,UprLksMain,1993,9.443150028,0.217935637
logR,UprLksMain,1994,8.157437921,0.562381843
logR,UprLksMain,1995,9.979032854,0.222767744
logR,UprLksMain,1996,8.577121687,0.359354823
logR,UprLksMain,1997,8.180283281,0.553902636
logR,UprLksMain,1998,9.937252394,0.155416898
logR,UprLksMain,1999,9.228569708,0.108819207
logR,UprLksMain,2000,8.428650576,0.184735313
logR,UprLksMain,2001,6.575461549,0.681575798
logR,UprLksMain,2002,9.105503509,0.074434342
logR,UprLksMain,2003,7.227899162,0.177350496
logR,UprLksMain,2004,7.440524,0.166816273
logR,UprLksMain,2005,9.221427723,0.045719834
logR,UprLksMain,2006,8.108705834,0.103423856
logR,UprLksMain,2007,7.822297366,0.100428479
logR,UprLksMain,2008,8.702524991,0.08677341
logR,UprLksMain,2009,8.466511462,0.101699024
logR,UprLksMain,2010,8.079900346,0.123538069
logR,UprLksMain,2011,8.462963819,0.065895495
logR,UprLksMain,2012,8.228203995,0.08978694
logR,UprLksMain,2013,8.47985446,0.185712757
logR,UprLksMain,2014,8.592587822,0.50327995
logR,UprLksMain,2015,9.715591121,1.225017068
S,UprLksMain,1985,3818.24532,553.6240653
S,UprLksMain,1986,3262.246578,524.0249938
S,UprLksMain,1987,2042.420086,441.0246275
S,UprLksMain,1988,1353.805748,313.7627412
S,UprLksMain,1989,550.3428201,161.2940951
S,UprLksMain,1990,1079.807491,265.5865649
S,UprLksMain,1991,7387.74828,951.6814478
S,UprLksMain,1992,8795.39404,1158.465043
S,UprLksMain,1993,3125.840388,423.126986
S,UprLksMain,1994,4202.378939,541.3135007
S,UprLksMain,1995,8184.41741,983.2284039
S,UprLksMain,1996,5174.946213,516.9531955
S,UprLksMain,1997,6766.201867,817.7053994
S,UprLksMain,1998,1580.996517,254.6866524
S,UprLksMain,1999,3240.553205,433.4056448
S,UprLksMain,2000,3961.58901,460.046533
S,UprLksMain,2001,13750.0884,2659.574256
S,UprLksMain,2002,4021.346221,548.8752572
S,UprLksMain,2003,4760.368122,520.6454081
S,UprLksMain,2004,7313.239364,808.8842626
S,UprLksMain,2005,5656.937978,115.7004044
S,UprLksMain,2006,2261.693174,77.4468065
S,UprLksMain,2007,1271.998346,44.69761912
S,UprLksMain,2008,3748.886977,93.14184936
S,UprLksMain,2009,1506.301321,44.86792163
S,UprLksMain,2010,2450.089762,66.20822645
S,UprLksMain,2011,4701.960988,92.49631044
S,UprLksMain,2012,2238.562215,78.24390244
S,UprLksMain,2013,2160.133569,55.35977452
S,UprLksMain,2014,6775.662116,303.372676
S,UprLksMain,2015,5001.087225,106.0434108
logR,White-Donjek,1985,8.419753728,0.627697851
logR,White-Donjek,1986,9.045813096,0.410519329
logR,White-Donjek,1987,9.953129469,0.286813902
logR,White-Donjek,1988,9.55749166,0.487532868
logR,White-Donjek,1989,9.664094632,0.660518025
logR,White-Donjek,1990,9.986300367,0.28827906
logR,White-Donjek,1991,8.875907894,0.45541392
