OID_,SUB_DRAINA,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN
63,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,1992-01-01 0:00:00,1993-01-01 0:00:00,252.636156052551826
64,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,1992-01-01 0:00:00,1993-01-01 0:00:00,151.531633343949892
65,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,1993-01-01 0:00:00,1994-01-01 0:00:00,106.758139937016210
66,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,1993-01-01 0:00:00,1994-01-01 0:00:00,157.389447737907233
67,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,1993-01-01 0:00:00,1994-01-01 0:00:00,139.027002161716695
68,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,1993-01-01 0:00:00,1994-01-01 0:00:00,94.590287051843902
69,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,1993-01-01 0:00:00,1994-01-01 0:00:00,275.584088564498018
70,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,1993-01-01 0:00:00,1994-01-01 0:00:00,138.576401642967596
71,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,1993-01-01 0:00:00,1994-01-01 0:00:00,229.641337561276202
72,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,1993-01-01 0:00:00,1994-01-01 0:00:00,96.580206751807097
73,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,1994-01-01 0:00:00,1995-01-01 0:00:00,116.477320327170958
74,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,1994-01-01 0:00:00,1995-01-01 0:00:00,122.767297523835069
75,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,1994-01-01 0:00:00,1995-01-01 0:00:00,109.344632309033130
76,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,1994-01-01 0:00:00,1995-01-01 0:00:00,93.567073972051404
77,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,1994-01-01 0:00:00,1995-01-01 0:00:00,329.968709278053041
78,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,1994-01-01 0:00:00,1995-01-01 0:00:00,129.967661388087947
79,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,1994-01-01 0:00:00,1995-01-01 0:00:00,298.952162798726533
80,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,1994-01-01 0:00:00,1995-01-01 0:00:00,129.738741597728335
81,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,1995-01-01 0:00:00,1996-01-01 0:00:00,101.977839821999012
82,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,1995-01-01 0:00:00,1996-01-01 0:00:00,86.474194812389356
83,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,1995-01-01 0:00:00,1996-01-01 0:00:00,118.235243337011838
84,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,1995-01-01 0:00:00,1996-01-01 0:00:00,68.107161376861967
85,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,1995-01-01 0:00:00,1996-01-01 0:00:00,277.861558771367868
86,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,1995-01-01 0:00:00,1996-01-01 0:00:00,70.820770942558738
87,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,1995-01-01 0:00:00,1996-01-01 0:00:00,244.414730045913416
88,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,1995-01-01 0:00:00,1996-01-01 0:00:00,131.063199866812255
89,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,1996-01-01 0:00:00,1997-01-01 0:00:00,134.104677081055996
90,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,1996-01-01 0:00:00,1997-01-01 0:00:00,164.049219633151722
91,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,1996-01-01 0:00:00,1997-01-01 0:00:00,156.890606790683449
92,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,1996-01-01 0:00:00,1997-01-01 0:00:00,127.692834751816449
93,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,1996-01-01 0:00:00,1997-01-01 0:00:00,269.522403032381931
94,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,1996-01-01 0:00:00,1997-01-01 0:00:00,164.352880445811167
95,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,1996-01-01 0:00:00,1997-01-01 0:00:00,258.614560497259163
96,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,1996-01-01 0:00:00,1997-01-01 0:00:00,147.398820824231507
97,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,1997-01-01 0:00:00,1998-01-01 0:00:00,123.793109530218118
