"","subbasin","year","tmean","tmean14"
"94","Pelly","1985",7.72720365699874,8.89437803999279
"95","Pelly","1986",8.52979192938209,9.58070707980544
"96","Pelly","1987",8.94640290037831,10.1274835615204
"97","Pelly","1988",8.76480453972257,9.80191024139795
"98","Pelly","1989",10.6420050441362,11.7308376869033
"99","Pelly","1990",9.9619262295082,10.9194692397766
"100","Pelly","1991",8.74263871374527,9.70549765807963
"101","Pelly","1992",6.37077238335435,7.98481422266258
"102","Pelly","1993",9.05473518284994,10.4508595298144
"103","Pelly","1994",10.4754035308953,12.0366024139795
"104","Pelly","1995",10.1475378310214,10.4791276346604
"105","Pelly","1996",7.968789407314,9.50036795172041
"106","Pelly","1997",10.39394703657,11.3734565843992
"107","Pelly","1998",8.86478247162673,9.93789429832463
"108","Pelly","1999",10.1802931904161,11.2163126013331
