OID_,VALUE,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,MEAN
1379,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-06-22 12:00:00,1.226107741875695
1380,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-06-22 12:00:00,1.709299416228886
1381,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-06-22 12:00:00,1.342881721679926
1382,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-06-22 12:00:00,2.844807758364996
1383,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-06-22 12:00:00,2.854837065479408
1384,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-06-22 12:00:00,2.045695381238547
1385,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-06-23 12:00:00,6.110003799292264
1386,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-06-23 12:00:00,4.066158508157385
1387,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-06-23 12:00:00,4.115640772760324
1388,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-06-23 12:00:00,4.713354089796835
1389,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-06-23 12:00:00,1.669524762638317
1390,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-06-23 12:00:00,4.615834282446196
1391,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-06-23 12:00:00,1.706108436475893
1392,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-06-23 12:00:00,4.902678842335282
1393,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-06-24 12:00:00,4.773329354541177
1394,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-06-24 12:00:00,-0.008991005555060
1395,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-06-24 12:00:00,1.582272684811955
1396,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-06-24 12:00:00,4.514308772943412
1397,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-06-24 12:00:00,5.649591269043105
1398,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-06-24 12:00:00,2.379978487403752
1399,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-06-24 12:00:00,5.602316577323695
1400,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-06-24 12:00:00,5.867756030596061
1401,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-06-25 12:00:00,4.398405341395515
1402,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-06-25 12:00:00,2.211955378226305
1403,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-06-25 12:00:00,3.328400705505936
1404,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-06-25 12:00:00,4.071539385565001
1405,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-06-25 12:00:00,4.821367639692834
1406,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-06-25 12:00:00,4.618136892082553
1407,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-06-25 12:00:00,5.440195184485139
1408,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-06-25 12:00:00,5.550001377931251
1409,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-06-26 12:00:00,5.413301129314259
1410,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-06-26 12:00:00,2.689456994507111
1411,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-06-26 12:00:00,2.301697244518492
1412,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-06-26 12:00:00,5.201833692794048
1413,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-06-26 12:00:00,4.874188783854047
1414,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-06-26 12:00:00,5.603342043564679
1415,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-06-26 12:00:00,3.129580060239086
1416,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-06-26 12:00:00,4.190355618893312
1417,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-06-27 12:00:00,4.586604428807959
1418,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-06-27 12:00:00,2.393035113153739
1419,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-06-27 12:00:00,2.948826164725252
1420,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-06-27 12:00:00,4.141106582926411
1421,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-06-27 12:00:00,4.490091489291016
1422,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-06-27 12:00:00,5.022174909330543
1423,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-06-27 12:00:00,4.287894945787835
1424,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-06-27 12:00:00,5.170038594389614
1425,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-06-28 12:00:00,3.256406861219987
1426,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-06-28 12:00:00,4.339920583456401
1427,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-06-28 12:00:00,4.456351463307446
1428,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-06-28 12:00:00,3.628518416231331
1429,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-06-28 12:00:00,5.084682132635321
1430,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-06-28 12:00:00,6.802278945528596
1431,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-06-28 12:00:00,3.445761724282004
1432,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-06-28 12:00:00,4.758971054457679
1433,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-06-29 12:00:00,6.965674664758881
1434,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-06-29 12:00:00,4.230951739976835
1435,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-06-29 12:00:00,5.901949571014416
1436,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-06-29 12:00:00,6.589691173704766
1437,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-06-29 12:00:00,8.063307313441721
1438,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-06-29 12:00:00,5.829280512258944
1439,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-06-29 12:00:00,7.709768769010208
1440,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-06-29 12:00:00,8.407531355628464
1441,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-06-30 12:00:00,5.085266500613292
1442,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-06-30 12:00:00,5.082958832348826
1443,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-06-30 12:00:00,5.795794005362140
1444,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-06-30 12:00:00,5.368791221204921
1445,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-06-30 12:00:00,7.130626057269643
1446,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-06-30 12:00:00,7.276869410874150
1447,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-06-30 12:00:00,9.087404875350101
1448,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-06-30 12:00:00,6.039029635140594
1449,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-01 12:00:00,9.357341509925451
1450,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-01 12:00:00,8.002669413452217
1451,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-01 12:00:00,8.712600769047325
1452,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-01 12:00:00,7.484638540180114
1453,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-01 12:00:00,6.399382691131587
1454,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-01 12:00:00,8.720357438548355
1455,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-01 12:00:00,6.283566540866019
1456,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-01 12:00:00,10.512026876782144
1457,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-02 12:00:00,9.456585976231706
1458,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-02 12:00:00,8.867580851019698
