OID_,Site_1,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,MEAN,Population
2593,WalshCr,45,560.000000000000000,560.000000000000000,swe,StdTime,2011-04-01 12:00:00,97.092553533826489,Carmacks
2594,IncisedCr,46,1435.000000000000000,1435.000000000000000,swe,StdTime,2011-04-01 12:00:00,114.991226403638308,Middle Mainstem
2595,KirklandCr,47,1247.000000000000000,1247.000000000000000,swe,StdTime,2011-04-01 12:00:00,106.907056849769404,Middle Mainstem
2596,BigCampbellCr,48,1011.000000000000000,1011.000000000000000,swe,StdTime,2011-04-01 12:00:00,208.153382736190991,Pelly
2597,BigSalmonR,49,7232.000000000000000,7232.000000000000000,swe,StdTime,2011-04-01 12:00:00,111.306140762514829,Carmacks
2598,MinkR,50,496.000000000000000,496.000000000000000,swe,StdTime,2011-04-01 12:00:00,166.756330951567605,Pelly
2599,NorthernCr,51,294.000000000000000,294.000000000000000,swe,StdTime,2011-04-01 12:00:00,119.549625500529842,Carmacks
2600,NordenskioldR,52,6617.000000000000000,6617.000000000000000,swe,StdTime,2011-04-01 12:00:00,98.479050932468084,Middle Mainstem
2601,UNisutlinR,53,3434.000000000000000,3434.000000000000000,swe,StdTime,2011-04-01 12:00:00,148.871205549290153,Teslin
2602,HooleR,54,1105.000000000000000,1105.000000000000000,swe,StdTime,2011-04-01 12:00:00,191.677610785713085,Pelly
2603,RoseR,55,978.000000000000000,978.000000000000000,swe,StdTime,2011-04-01 12:00:00,119.750347621114244,Teslin
2604,KlushaCr,56,1509.000000000000000,1509.000000000000000,swe,StdTime,2011-04-01 12:00:00,83.535109432111639,Middle Mainstem
2605,BoswellR,57,776.000000000000000,776.000000000000000,swe,StdTime,2011-04-01 12:00:00,123.626649551784865,Teslin
2606,McIntyreCr,58,307.000000000000000,307.000000000000000,swe,StdTime,2011-04-01 12:00:00,148.230260370608676,Upper Lakes and Mainstem
2607,WolfCr,59,449.000000000000000,449.000000000000000,swe,StdTime,2011-04-01 12:00:00,146.974966801088982,Upper Lakes and Mainstem
2608,IbexR,60,592.000000000000000,592.000000000000000,swe,StdTime,2011-04-01 12:00:00,178.076858146770491,Upper Lakes and Mainstem
2609,SSwiftR,61,4784.000000000000000,4784.000000000000000,swe,StdTime,2011-04-01 12:00:00,227.127970229821955,Teslin
2610,MorleyR,62,1963.000000000000000,1963.000000000000000,swe,StdTime,2011-04-01 12:00:00,223.804391154572755,Teslin
2611,HayesR,63,379.000000000000000,379.000000000000000,swe,StdTime,2011-04-01 12:00:00,350.055408850194169,Teslin
2612,HessR,64,14979.000000000000000,14979.000000000000000,swe,StdTime,2011-04-01 12:00:00,222.099165535648126,Stewart
2613,KlondikeR,65,8562.000000000000000,8562.000000000000000,swe,StdTime,2011-04-01 12:00:00,92.063533013960367,Lower Mainstem
2614,MSYukonR,66,94962.000000000000000,94962.000000000000000,swe,StdTime,2011-04-01 12:00:00,214.613679956042802,Middle Mainstem
2615,BlindCr,67,589.000000000000000,589.000000000000000,swe,StdTime,2011-04-01 12:00:00,146.099999821246826,Pelly
2616,LTeslinR,68,35505.000000000000000,35505.000000000000000,swe,StdTime,2011-04-01 12:00:00,210.391374684870698,Teslin
2617,SMSYukonR,69,32026.000000000000000,32026.000000000000000,swe,StdTime,2011-04-01 12:00:00,309.273688803814025,Upper Lakes and Mainstem
2618,TakhiniR,70,8357.000000000000000,8357.000000000000000,swe,StdTime,2011-04-01 12:00:00,302.229244962982307,Upper Lakes and Mainstem
2619,SixtyMileR,71,3630.000000000000000,3630.000000000000000,swe,StdTime,2011-04-01 12:00:00,84.445867785409234,Lower Mainstem
2620,RusselCr,72,522.000000000000000,522.000000000000000,swe,StdTime,2011-04-01 12:00:00,187.492164816435974,Pelly
2621,HuskyDogCr,73,433.000000000000000,433.000000000000000,swe,StdTime,2011-04-01 12:00:00,189.535865907030399,Pelly
2622,LittleKalzasR,74,448.000000000000000,448.000000000000000,swe,StdTime,2011-04-01 12:00:00,167.631941846438735,Pelly
2623,NeedlerockCr,75,1077.000000000000000,1077.000000000000000,swe,StdTime,2011-04-01 12:00:00,121.085570899446211,Pelly
