Sample time,Sample number,Sample type,Temperature (air) [Lab: 80] [VMV: 97060],Status(0),Unit code(0),Value modifier code(0),Temperature (water) [Lab: 80] [VMV: 2061],Status(1),Unit code(1),Value modifier code(1)
1992-08-24 13:35,92PY001568,1,19,U,DEG C,,13,U,DEG C,
1992-09-02 14:20,92PY001674,1,10,U,DEG C,,11,U,DEG C,
1992-10-14 5:30,92PY001839,1,-1,U,DEG C,,1,U,DEG C,
1993-01-06 14:20,93PY000121,1,-10,U,DEG C,,1,U,DEG C,
1993-01-20 17:30,93PY000112,1,-11,U,DEG C,,0.1,U,DEG C,
1993-02-05 18:30,93PY000718,1,,,,,0.5,U,DEG C,
1993-02-17 19:00,93PY000400,1,-16,U,DEG C,,0.1,U,DEG C,
1993-03-03 19:30,93PY000422,1,-10,U,DEG C,,0.1,U,DEG C,
1993-03-17 21:00,93PY000613,1,-7.5,U,DEG C,,0,U,DEG C,
1993-03-31 22:00,93PY000798,1,7.2,U,DEG C,,1,U,DEG C,
1993-04-14 18:00,93PY000758,1,5,U,DEG C,,1,U,DEG C,
1993-05-13 20:00,93PY001125,1,21,U,DEG C,,7,U,DEG C,
1993-05-26 16:00,93PY001121,1,19,U,DEG C,,10,U,DEG C,
1993-06-09 16:15,93PY001128,1,14,U,DEG C,,12,U,DEG C,
1993-06-23 20:00,93PY001302,1,12,U,DEG C,,11,U,DEG C,
1993-07-22 0:00,93PY001505,1,25,U,DEG C,,13,U,DEG C,
1993-08-04 16:30,93PY001627,1,23,U,DEG C,,16,U,DEG C,
1993-08-13 21:15,93PY001625,1,21,U,DEG C,,14,U,DEG C,
1993-09-01 19:36,93PY001916,1,24,U,DEG C,,14,U,DEG C,
1993-09-26 16:30,93PY001999,1,2,U,DEG C,,3,U,DEG C,
1993-12-16 15:00,94PY000062,1,-22,U,DEG C,,0,U,DEG C,
1993-12-29 17:00,94PY000080,1,-5,U,DEG C,,0,U,DEG C,
1994-01-19 20:00,94PY000210,1,11,U,DEG C,,0,U,DEG C,
1994-02-28 18:00,94PY000505,1,-18,U,DEG C,,0.1,U,DEG C,
1994-03-08 19:30,94PY001576,1,26.7,U,DEG C,,21,U,DEG C,
1994-05-25 20:30,94PY001029,1,21,U,DEG C,,12,U,DEG C,
1994-06-07 14:00,94PY001109,1,9,U,DEG C,,12,U,DEG C,
1994-06-22 4:00,94PY001244,1,10,U,DEG C,,12,U,DEG C,
1994-07-06 9:00,94PY001406,1,11,U,DEG C,,9,U,DEG C,
1994-07-20 19:30,94PY001557,1,25,U,DEG C,,16,U,DEG C,
1994-08-17 7:00,94PY001681,1,22,U,DEG C,,16,U,DEG C,
1994-08-31 19:05,94PY001750,1,18.5,U,DEG C,,13,U,DEG C,
1994-09-28 19:20,94PY001952,1,7,U,DEG C,,6,U,DEG C,
