"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"cov.eff[1,4,3]",-0.00503835274028433,0.00202023869030905,-0.00882346777210011,-0.00633039585780648,-0.00512057861499106,-0.00386863718490607,-0.00065130315145355,1.00164681745732,2700
"cov.eff[2,4,3]",-0.231764362221816,0.155608213350824,-0.468291529913362,-0.332087625443718,-0.257485053550774,-0.161529433495256,0.159250255602861,1.0019137139346,2000
"cov.eff[3,4,3]",0.010105679533154,0.00508370258148206,-0.00164952872200046,0.00749185379846755,0.0105493371311113,0.0132961334710244,0.0191393918183641,1.00105059596439,13000
"cov.eff[4,4,3]",-0.0998483358585437,0.0366776583631197,-0.174256393251243,-0.121852124266081,-0.0993607799722254,-0.0774889447664635,-0.026806086065231,1.0012487881964,5700
"cov.eff[5,4,3]",-0.207725560370336,0.0645124815988413,-0.344522761830646,-0.247001864644672,-0.20472021591504,-0.16424052548807,-0.0881852024940369,1.00176553688856,2300
"cov.eff[6,4,3]",-0.125933573895959,0.0453322086530345,-0.21873766578893,-0.153358395864074,-0.124942841823103,-0.0982861728286376,-0.0358919809391871,1.00142762630851,3800
"cov.eff[7,4,3]",0.157742535585136,0.0632361138094442,0.0360750372926581,0.119700710067554,0.155363505985325,0.193006785907572,0.293077607733622,1.00147381749753,3500
"cov.eff[8,4,3]",-0.211790988769553,0.0770122358102152,-0.365677078931338,-0.260068924653101,-0.211781598587678,-0.16370457800468,-0.0550515102348198,1.00125819635722,5600
"cov.eff[1,5,3]",-0.00160426976101865,0.000643267355020448,-0.00280949414695089,-0.00201567122697796,-0.00163045143014051,-0.00123181880507773,-0.000207382453153551,1.00164681745732,2700
"cov.eff[2,5,3]",-0.251694125523596,0.16898919578559,-0.50856061726541,-0.36064433583308,-0.279626577475414,-0.175419590484751,0.172944422684836,1.0019137139346,2000
"cov.eff[3,5,3]",0.0488783328153226,0.0245884411727672,-0.00797830701021729,0.0362359920640535,0.051024179975611,0.0643096621876401,0.0925718612104942,1.00105059596439,13000
"cov.eff[4,5,3]",-0.160859198218427,0.0590890039988181,-0.280733208638964,-0.19630807906927,-0.160073728452852,-0.124837428873971,-0.0431855521151206,1.0012487881964,5700
"cov.eff[5,5,3]",-0.172187007117291,0.0534754177984161,-0.285580374113044,-0.204743757820329,-0.169695829497207,-0.136141572952043,-0.0730981110962447,1.00176553688856,2300
"cov.eff[6,5,3]",-0.117363448654635,0.0422472274712624,-0.203851967457564,-0.14292193623934,-0.116440138617716,-0.0915975290891393,-0.0334494331555264,1.00142762630851,3800
"cov.eff[7,5,3]",0.127818464186405,0.0512400977850233,0.0292315312741134,0.0969932483087243,0.125890741213183,0.156393016384256,0.237480205126532,1.00147381749753,3500
"cov.eff[8,5,3]",-0.27842415961614,0.10124163997813,-0.480725520872488,-0.341891183423299,-0.278411815117857,-0.215208918099259,-0.0723716838085443,1.00125819635722,5600
"cov.eff[1,6,3]",-0.0483417685798654,0.0193836986565373,-0.0846590262925284,-0.0607386079045648,-0.0491307058399679,-0.0371186324484374,-0.00624909525908417,1.00164681745732,2700
"cov.eff[2,6,3]",-0.150302270904343,0.100913995636706,-0.303693284491614,-0.215363241202937,-0.166982481265037,-0.104753985640782,0.103275908469046,1.0019137139346,2000
"cov.eff[3,6,3]",0.00482617122261907,0.00242782477146746,-0.000787765733406112,0.00357788598852875,0.00503804886280478,0.00634983689314882,0.00914040285061275,1.00105059596439,13000
"cov.eff[4,6,3]",-0.16150437431485,0.0593259989196166,-0.281859176924844,-0.197095433983088,-0.160715754177256,-0.125338128404619,-0.0433587612709792,1.0012487881964,5700
"cov.eff[5,6,3]",-0.126237728087053,0.0392051372771674,-0.209371300528639,-0.150106487475202,-0.124411338231711,-0.0998112642492048,-0.0535913808290955,1.00176553688856,2300
"cov.eff[6,6,3]",-0.148651026581687,0.053509792067491,-0.258196266219437,-0.181023076490699,-0.147481574027127,-0.116016246007855,-0.0423666195407775,1.00142762630851,3800
"cov.eff[7,6,3]",0.0654532482776826,0.0262390169013827,0.0149688754766378,0.0496682791740591,0.0644661003630203,0.080085698067581,0.121608806099511,1.00147381749753,3500
"cov.eff[8,6,3]",-0.393426603481062,0.143059261101345,-0.679288065892984,-0.483108532103662,-0.393409160116815,-0.304100455231175,-0.102264637480656,1.00125819635722,5600
"cov.eff[1,7,3]",0.076990825282106,0.030871170013586,0.0099525320524532,0.0591164582823857,0.0782473149086853,0.0967344738604868,0.134830985570438,1.00164681745732,2700
"cov.eff[2,7,3]",-0.0970814071585133,0.0651811355840028,-0.196157857267509,-0.139104794494461,-0.1078552849168,-0.0676614150290656,0.0667067134742744,1.0019137139346,2000
"cov.eff[3,7,3]",0.0586968423800778,0.0295276817509883,-0.0095809615849211,0.043514952171256,0.0612737398576387,0.0772279635479021,0.111167374853658,1.00105059596439,13000
"cov.eff[4,7,3]",-0.0137149135299701,0.00503794989277157,-0.0239354150966629,-0.0167372979567738,-0.0136479440931298,-0.0106436844226056,-0.00368201582230096,1.0012487881964,5700
"cov.eff[5,7,3]",0.0201373980285592,0.00625398972302633,0.00854887823956546,0.0159218578025571,0.0198460529605698,0.0239449341394404,0.0333988362939708,1.00176553688856,2300
"cov.eff[6,7,3]",-0.0634937147539393,0.0228557821106527,-0.110284069036418,-0.0773208759259046,-0.0629942033235442,-0.049554332723008,-0.0180961687118425,1.00142762630851,3800
"cov.eff[7,7,3]",0.0236794909319356,0.00949267727925806,0.00541539740864435,0.0179688494804313,0.0233223633529565,0.028973177207702,0.0439952897228287,1.00147381749753,3500
"cov.eff[8,7,3]",-0.268249851274018,0.097542019716656,-0.463158619767256,-0.329397632847811,-0.268237957874274,-0.207344651242047,-0.0697270432453048,1.00125819635722,5600
"cov.eff[1,8,3]",-0.0268427623765031,0.0107631977956199,-0.0470086675054535,-0.0337263626664435,-0.0272808360346465,-0.0206108849515521,-0.00346993881348384,1.00164681745732,2700
"cov.eff[2,8,3]",-0.187547999914324,0.125921038525574,-0.378950149928627,-0.268731436322628,-0.208361658101094,-0.13071259916283,0.128868246342275,1.0019137139346,2000
"cov.eff[3,8,3]",-0.0333307724766813,0.0167671786470763,-0.0631259592140312,-0.0438535971864513,-0.0347940536352171,-0.0247097954735309,0.00544051158028248,1.00105059596439,13000
"cov.eff[4,8,3]",-0.0147770912069366,0.00542812354585982,-0.0257891390409697,-0.0180335499691233,-0.0147049351941332,-0.0114680048945986,-0.0039671765711558,1.0012487881964,5700
"cov.eff[5,8,3]",0.0863403797728495,0.0268143802399791,0.0366538612778636,0.0682659819015581,0.0850912191921494,0.10266543395046,0.143199643047379,1.00176553688856,2300
"cov.eff[6,8,3]",0.0351776286023578,0.0126628630506309,0.0100258790108246,0.0274547475907368,0.0349008826653911,0.0428383355277178,0.0611010402581493,1.00142762630851,3800
"cov.eff[7,8,3]",-0.256136394301759,0.102680422377672,-0.475888392544318,-0.313397157176136,-0.252273415547345,-0.194365509330335,-0.0585772882511826,1.00147381749753,3500
"cov.eff[8,8,3]",-0.259435671607023,0.0943369745590133,-0.447940108854548,-0.318574253434871,-0.259424169001763,-0.200531700553135,-0.0674359452860942,1.00125819635722,5600
"cov.eff[1,9,3]",-0.00166736102286972,0.000668565188416041,-0.00291998337712984,-0.00209494171145444,-0.00169457234085887,-0.00128026265453038,-0.000215538201627498,1.00164681745732,2700
"cov.eff[2,9,3]",-0.0164366012342494,0.0110356489975522,-0.0332109780156614,-0.0235514719429689,-0.0182606985319983,-0.0114555786769957,0.0112939406330786,1.0019137139346,2000
"cov.eff[3,9,3]",-0.062804977034301,0.0315942953496318,-0.11894787081455,-0.0826330732686577,-0.0655622290488128,-0.0465605211617316,0.0102515237261165,1.00105059596439,13000
