"","population","BroodYear","R_lwr","R_med","R_upr","S_lwr","S_med","S_upr"
"25","Carmacks",1985,16.3644470327613,20.7842557991232,26.7807240207262,2.56386574783471,4.66057021804324,9.78148756197565
"26","Lower Mainstem",1985,29.6761335855127,37.2202988721613,47.5245289337298,1.39936457909787,2.02160895426503,2.96820305134068
"27","Middle Mainstem",1985,11.9527416138334,15.7664002854518,20.7417684728415,3.57257309003796,4.75561548265051,6.59585114158117
"28","Pelly",1985,16.9659092806628,21.4275934434227,27.0384802374021,6.43054646602074,10.4706785285993,18.2483534974635
"29","Stewart",1985,10.193644577667,12.7013724018542,16.0607893160851,4.47421974077539,6.30205087708649,8.80582971007597
"30","Teslin",1985,22.3891495930148,28.1450226168796,35.9963708211755,3.65010764790763,6.54633596812742,12.3633974559451
"31","Upper Lakes and Mainstem",1985,11.2113469161792,14.2494775307089,18.1328747970467,0.511411318515389,0.851940426423765,1.46179934377793
"32","White-Donjek",1985,14.4728579269144,18.2742403792153,23.1842553339237,2.61716110485387,3.67759193093175,4.91130370226633
"33","Carmacks",1986,22.5019866450849,28.7342972462542,36.5616787729999,2.52222087084545,5.1181923871138,9.84454069723376
"34","Lower Mainstem",1986,29.872013085965,37.6189265913311,47.1961678774911,1.12408336845986,2.05146839911687,3.55284398389307
"35","Middle Mainstem",1986,24.7068934309863,31.8507948239303,41.3710899821087,1.16807785458401,2.53665741302559,4.85952823232323
"36","Pelly",1986,22.7645405496085,28.493438802323,36.7164384697825,8.59029643915046,13.0155581277333,20.5952308076766
"37","Stewart",1986,14.1944921424784,17.7659339119224,23.0345073611199,4.03439370103902,7.35829181839515,12.738743702426
"38","Teslin",1986,36.7779390019246,46.3108025350816,57.9880400933412,5.90962255101763,10.2822656612154,17.9180931648776
"39","Upper Lakes and Mainstem",1986,15.9604966908128,20.2187348206847,25.5044206941889,0.350480295529809,0.668454858483373,1.21358070660698
"40","White-Donjek",1986,15.8757935852226,20.8536609530123,27.1276771275568,6.67653765670494,9.4619094056159,13.3117557229311
"41","Carmacks",1987,11.2639342789322,14.9083727203678,19.3586738414606,1.08057197009278,2.7523595793976,12.1692696570982
"42","Lower Mainstem",1987,10.976494269496,14.3022458351444,18.8711056820084,1.05291823062334,1.68654210914554,2.80393798060029
"43","Middle Mainstem",1987,8.74304701576815,12.0493980116144,16.0137893489895,0.973924128051541,2.96430721628912,9.3924546540271
"44","Pelly",1987,8.3996033177773,11.2002961782086,14.5487307755552,6.64922703214215,12.1575751830466,25.274172955256
