,year,Population,age_4,age_5,age_6,age_7,year_4,year_5,year_6,year_7,S_med,S_med_total,popn_prop,,,Population,year,Age_4,Age_5,Age_6,Age_7,,x,j,j,j
75,1989,Lower Mainstem,57.45342145,366.9317196,1110.57057,399.1454978,NA,NA,NA,NA,1.934101209,47.88546594,0.040390151,,,Lower Mainstem,1989,57.45342145,366.9317196,1110.57057,399.1454978,,0,0,-2.95586E-12,0
110,1989,Middle Mainstem,83.13712624,530.9631337,1607.034766,577.5776063,NA,NA,NA,NA,2.798712633,47.88546594,0.058445973,,,Middle Mainstem,1989,83.13712624,530.9631337,1607.034766,577.5776063,,0,0,4.09273E-12,0
145,1989,Pelly,323.1236597,2063.659867,6245.957472,2244.833305,NA,NA,NA,NA,10.8775743,47.88546594,0.227158159,,,Pelly,1989,323.1236597,2063.659867,6245.957472,2244.833305,,0,0,0,0
180,1989,Stewart,283.079301,1807.912777,5471.902855,1966.633591,NA,NA,NA,NA,9.529528523,47.88546594,0.199006699,,,Stewart,1989,283.079301,1807.912777,5471.902855,1966.633591,,0,-3.18323E-12,0,2.95586E-12
215,1989,Teslin,299.694728,1914.028775,5793.077881,2082.065756,NA,NA,NA,NA,10.08886714,47.88546594,0.210687459,,,Teslin,1989,299.694728,1914.028775,5793.077881,2082.065756,,0,2.04636E-12,0,0
250,1989,Upper Lakes and Mainstem,20.98600708,134.0291226,405.6580316,145.795847,NA,NA,NA,NA,0.706469008,47.88546594,0.014753308,,,Upper Lakes and Mainstem,1989,20.98600708,134.0291226,405.6580316,145.795847,,0,-3.97904E-13,0,-3.69482E-13
285,1989,White-Donjek,231.5151774,1478.593616,4475.171994,1608.402744,NA,NA,NA,NA,7.793683531,47.88546594,0.162756765,,,White-Donjek,1989,231.5151774,1478.593616,4475.171994,1608.402744,,-2.84217E-13,0,0,-4.09273E-12
6,1990,Aggregate,1704.346404,7839.885797,24047.59589,3602.052563,1986,1985,1984,1983,NA,NA,NA,,,Aggregate,1990,1704.346404,7839.885797,24047.59589,3602.052563,,0,0,-4.36557E-11,3.63798E-12
41,1990,Carmacks,186.7696362,859.1285286,2635.239366,394.728469,NA,NA,NA,NA,4.075865999,37.19388065,0.109584317,,,Carmacks,1990,186.7696362,859.1285286,2635.239366,394.728469,,0,0,0,4.54747E-13
76,1990,Lower Mainstem,78.40615827,360.6633752,1106.277225,165.7075713,NA,NA,NA,NA,1.711054329,37.19388065,0.046003652,,,Lower Mainstem,1990,78.40615827,360.6633752,1106.277225,165.7075713,,0,0,0,0
111,1990,Middle Mainstem,125.8762078,579.0226043,1776.059239,266.0331935,NA,NA,NA,NA,2.746991244,37.19388065,0.073856,,,Middle Mainstem,1990,125.8762078,579.0226043,1776.059239,266.0331935,,1.42109E-13,0,0,0
146,1990,Pelly,210.7665907,969.5130034,2973.826089,445.4448558,NA,NA,NA,NA,4.599550539,37.19388065,0.123664174,,,Pelly,1990,210.7665907,969.5130034,2973.826089,445.4448558,,3.97904E-13,0,0,0
181,1990,Stewart,481.2272381,2213.614897,6789.909684,1017.050174,NA,NA,NA,NA,10.50180199,37.19388065,0.282352952,,,Stewart,1990,481.2272381,2213.614897,6789.909684,1017.050174,,0,-5.00222E-12,0,-1.47793E-12
216,1990,Teslin,340.6860076,1567.134114,4806.933273,720.0231737,NA,NA,NA,NA,7.434776568,37.19388065,0.199892467,,,Teslin,1990,340.6860076,1567.134114,4806.933273,720.0231737,,0,4.09273E-12,0,0
251,1990,Upper Lakes and Mainstem,22.26793633,102.4311005,314.1910195,47.06219167,NA,NA,NA,NA,0.485952248,37.19388065,0.013065382,,,Upper Lakes and Mainstem,1990,22.26793633,102.4311005,314.1910195,47.06219167,,3.55271E-14,2.84217E-13,4.54747E-13,0
286,1990,White-Donjek,258.346629,1188.378174,3645.159997,546.0029339,NA,NA,NA,NA,5.637887734,37.19388065,0.151581057,,,White-Donjek,1990,258.346629,1188.378174,3645.159997,546.0029339,,0,4.09273E-12,-4.09273E-12,0
7,1991,Aggregate,939.0480779,17033.45445,28686.18219,12931.61609,1987,1986,1985,1984,NA,NA,NA,,,Aggregate,1991,939.0480779,17033.45445,28686.18219,12931.61609,,0,0,5.09317E-11,3.63798E-11
42,1991,Carmacks,40.84878504,653.5805607,3308.751588,653.5805607,1987,1986,1985,1984,4.656761495,59.59030081,0.0781463,,,Carmacks,1991,40.84878504,653.5805607,3308.751588,653.5805607,,0,0,0,0
77,1991,Lower Mainstem,202.7601005,9935.244925,1824.840905,0,1987,1986,1985,1984,11.96284593,59.59030081,0.200751561,,,Lower Mainstem,1991,202.7601005,9935.244925,1824.840905,0,,-3.41061E-13,0,0,0
112,1991,Middle Mainstem,0,4725.782511,4725.782511,525.0869456,1987,1986,1985,1984,9.976651967,59.59030081,0.167420735,,,Middle Mainstem,1991,0,4725.782511,4725.782511,525.0869456,,0,0,0,0
147,1991,Pelly,0,6342.104479,3752.724544,37.52724544,1987,1986,1985,1984,10.13235627,59.59030081,0.170033649,,,Pelly,1991,0,6342.104479,3752.724544,37.52724544,,0,0,-4.09273E-12,0
182,1991,Stewart,0,3984.867407,196.7835756,0,1987,1986,1985,1984,4.181650982,59.59030081,0.070173349,,,Stewart,1991,0,3984.867407,196.7835756,0,,0,0,0,0
217,1991,Teslin,9.678738634,2797.155465,1897.032772,9.678738634,1987,1986,1985,1984,4.713545715,59.59030081,0.07909921,,,Teslin,1991,9.678738634,2797.155465,1897.032772,9.678738634,,0,0,3.63798E-12,0
252,1991,Upper Lakes and Mainstem,196.1876264,3139.002023,4904.690661,0,1987,1986,1985,1984,8.23988031,59.59030081,0.138275528,,,Upper Lakes and Mainstem,1991,196.1876264,3139.002023,4904.690661,0,,0,0,0,0
287,1991,White-Donjek,0,5726.608148,0,0,1987,1986,1985,1984,5.726608148,59.59030081,0.096099668,,,White-Donjek,1991,0,5726.608148,0,0,,0,0,0,0
8,1992,Aggregate,3665.505593,9922.57256,41618.87937,1865.470506,1988,1987,1986,1985,NA,NA,NA,,,Aggregate,1992,3665.505593,9922.57256,41618.87937,1865.470506,,0,0,0,2.50111E-12
43,1992,Carmacks,1182.512092,2660.652208,4730.04837,0,1988,1987,1986,1985,8.57321267,57.07242803,0.150216365,,,Carmacks,1992,1182.512092,2660.652208,4730.04837,0,,0,5.00222E-12,0,0
78,1992,Lower Mainstem,417.2884498,2271.903782,2967.384532,0,1988,1987,1986,1985,5.656576764,57.07242803,0.09911225,,,Lower Mainstem,1992,417.2884498,2271.903782,2967.384532,0,,0,5.00222E-12,0,0
113,1992,Middle Mainstem,0,5053.643496,5053.643496,561.515944,1988,1987,1986,1985,10.66880294,57.07242803,0.18693445,,,Middle Mainstem,1992,0,5053.643496,5053.643496,561.515944,,0,0,0,0
148,1992,Pelly,256.5683838,4817.784097,2850.75982,0,1988,1987,1986,1985,7.925112301,57.07242803,0.138860612,,,Pelly,1992,256.5683838,4817.784097,2850.75982,0,,0,0,0,0
183,1992,Stewart,0,3168.441164,1782.248155,0,1988,1987,1986,1985,4.950689319,57.07242803,0.086743976,,,Stewart,1992,0,3168.441164,1782.248155,0,,0,4.54747E-12,-4.54747E-12,0
218,1992,Teslin,39.55314373,4785.930392,2531.401199,0,1988,1987,1986,1985,7.356884734,57.07242803,0.128904359,,,Teslin,1992,39.55314373,4785.930392,2531.401199,0,,-5.68434E-14,0,4.09273E-12,0
253,1992,Upper Lakes and Mainstem,9015.727546,0,0,0,1988,1987,1986,1985,9.015727546,57.07242803,0.157969932,,,Upper Lakes and Mainstem,1992,9015.727546,0,0,0,,0,0,0,0
288,1992,White-Donjek,487.5702923,487.5702923,1950.281169,0,1988,1987,1986,1985,2.925421754,57.07242803,0.051258057,,,White-Donjek,1992,487.5702923,487.5702923,1950.281169,0,,0,0,-3.18323E-12,0
9,1993,Aggregate,2508.107359,13912.22599,26597.00517,5611.092852,1989,1988,1987,1986,NA,NA,NA,,,Aggregate,1993,2508.107359,13912.22599,26597.00517,5611.092852,,0,-3.27418E-11,3.63798E-11,0
44,1993,Carmacks,1724.879117,1724.879117,1103.922635,68.99516468,1989,1988,1987,1986,4.622676034,48.62843137,0.095061179,,,Carmacks,1993,1724.879117,1724.879117,1103.922635,68.99516468,,-3.18323E-12,-3.18323E-12,-3.41061E-12,0
79,1993,Lower Mainstem,3143.557358,5588.546414,2183.025943,0,1989,1988,1987,1986,10.91512971,48.62843137,0.224459836,,,Lower Mainstem,1993,3143.557358,5588.546414,2183.025943,0,,-3.63798E-12,0,0,0
114,1993,Middle Mainstem,2342.749165,1041.221851,4164.887405,260.3054628,1989,1988,1987,1986,7.809163883,48.62843137,0.160588439,,,Middle Mainstem,1993,2342.749165,1041.221851,4164.887405,260.3054628,,3.63798E-12,-2.04636E-12,0,0
149,1993,Pelly,0,3692.958652,2827.421468,0,1989,1988,1987,1986,6.520380119,48.62843137,0.134085759,,,Pelly,1993,0,3692.958652,2827.421468,0,,0,0,0,0
184,1993,Stewart,2362.015779,94.48063117,850.3256805,0,1989,1988,1987,1986,3.306822091,48.62843137,0.068001825,,,Stewart,1993,2362.015779,94.48063117,850.3256805,0,,0,0,0,0
219,1993,Teslin,1345.698074,1757.646464,2746.3226,27.463226,1989,1988,1987,1986,5.877130364,48.62843137,0.120857906,,,Teslin,1993,1345.698074,1757.646464,2746.3226,27.463226,,1.81899E-12,-1.81899E-12,0,0
254,1993,Upper Lakes and Mainstem,3016.846396,0,0,0,1989,1988,1987,1986,3.016846396,48.62843137,0.062038736,,,Upper Lakes and Mainstem,1993,3016.846396,0,0,0,,0,0,0,0
289,1993,White-Donjek,2338.31861,4157.010861,0,64.95329471,1989,1988,1987,1986,6.560282766,48.62843137,0.134906321,,,White-Donjek,1993,2338.31861,4157.010861,0,64.95329471,,5.00222E-12,0,0,0
10,1994,Aggregate,1013.380594,14958.82711,27764.33177,7433.069499,1990,1989,1988,1987,NA,NA,NA,,,Aggregate,1994,1013.380594,14958.82711,27764.33177,7433.069499,,3.86535E-12,-2.00089E-11,-4.72937E-11,0
45,1994,Carmacks,690.7255809,690.7255809,4317.03488,43.1703488,1990,1989,1988,1987,5.741656391,51.16960897,0.11220833,,,Carmacks,1994,690.7255809,690.7255809,4317.03488,43.1703488,,0,0,0,0
80,1994,Lower Mainstem,441.2868731,12552.15995,1225.79687,0,1990,1989,1988,1987,14.21924369,51.16960897,0.277884549,,,Lower Mainstem,1994,441.2868731,12552.15995,1225.79687,0,,0,2.36469E-11,0,0
115,1994,Middle Mainstem,0,3656.650157,3656.650157,0,1990,1989,1988,1987,7.313300313,51.16960897,0.142922732,,,Middle Mainstem,1994,0,3656.650157,3656.650157,0,,0,5.00222E-12,5.00222E-12,0
150,1994,Pelly,98.72671957,5553.377976,394.9068783,0,1990,1989,1988,1987,6.047011574,51.16960897,0.118175841,,,Pelly,1994,98.72671957,5553.377976,394.9068783,0,,0,0,-4.54747E-13,0
185,1994,Stewart,61.15445228,2201.560282,1528.861307,0,1990,1989,1988,1987,3.791576042,51.16960897,0.074098202,,,Stewart,1994,61.15445228,2201.560282,1528.861307,0,,0,0,-1.81899E-12,0
220,1994,Teslin,589.3834943,2357.533977,802.2164228,16.37176373,1990,1989,1988,1987,3.765505658,51.16960897,0.073588713,,,Teslin,1994,589.3834943,2357.533977,802.2164228,16.37176373,,0,0,0,0
255,1994,Upper Lakes and Mainstem,2153.137063,538.2842658,2153.137063,0,1990,1989,1988,1987,4.844558392,51.16960897,0.094676479,,,Upper Lakes and Mainstem,1994,2153.137063,538.2842658,2153.137063,0,,0,0,0,0
