"","population","BroodYear","R_lwr","R_med","R_upr","S_lwr","S_med","S_upr"
"69","Stewart",1993,11.2486961362684,14.1553358353486,18.0056010327878,2.09186309514956,3.30682209099774,5.28355395986402
"70","Teslin",1993,14.506338855366,17.7450541754822,22.1232964065972,4.24665037199358,5.87713036419461,7.98810606073936
"71","Upper Lakes and Mainstem",1993,9.22086064065376,11.5572372080901,14.9309380558269,2.25826296776313,3.01684639569632,4.03775016676373
"72","White-Donjek",1993,12.4955666615999,15.4335679530158,19.3651620387109,5.06986707714403,6.56028276565073,8.58525445927726
"73","Carmacks",1994,8.97282524967355,10.9862511687661,13.7596375062582,4.3394320726318,5.74165639089169,7.64910949960985
"74","Lower Mainstem",1994,9.53073761125555,11.9630555261541,15.0256778976989,11.8923313806727,14.2192436888614,17.0347787799192
"75","Middle Mainstem",1994,16.4088118493636,20.2860350448872,25.689916542665,5.62848676493062,7.31330031317499,9.45190176049742
"76","Pelly",1994,9.53591603164502,11.9625051309324,15.0021303102856,4.54367767330738,6.04701157358966,8.18045804052941
"77","Stewart",1994,3.82220589032914,5.05039384910326,6.42637641498834,2.58516592549393,3.79157604154516,5.56814304048332
"78","Teslin",1994,7.75842330243166,9.80810615415305,12.4047244937628,2.45062313812144,3.76550565817446,5.73419972738875
"79","Upper Lakes and Mainstem",1994,7.45613779046888,9.34992691366164,12.0053197349876,3.81556583145536,4.84455839209581,6.14130990234459
"80","White-Donjek",1994,6.93937063215362,8.6432512135051,10.8390628546446,3.92503165820748,5.4467569118486,7.67300565920415
"81","Carmacks",1995,6.99810340553273,8.71380686074071,10.7968723382798,5.90128714848987,8.1878985453767,11.3793568321919
"82","Lower Mainstem",1995,10.899612763135,13.3180016026138,16.3408576025968,6.57401356957973,8.38860917588221,10.6318161533168
"83","Middle Mainstem",1995,34.4865919528491,42.7287705862168,54.0186809446392,18.9878206006578,22.316027497017,26.200425926288
"84","Pelly",1995,9.99562597675734,12.3952266799237,15.3293600119543,5.46537433703282,8.40865261969108,13.0895858834371
"85","Stewart",1995,4.24509642468309,5.36454577024693,6.70957098052439,4.36268232803102,6.01190410009022,8.27011151178166
"86","Teslin",1995,14.168613080984,17.8725798956853,22.4093795447686,5.75780309017727,7.9284891822244,10.7819404128768
"87","Upper Lakes and Mainstem",1995,13.2227320665023,16.9668650718466,22.5576422661675,5.93554853239191,7.29449423992335,8.96127933836219
"88","White-Donjek",1995,6.33456289858715,7.99203888116699,9.88107762068352,2.46240645756988,5.72672495893565,12.5218054000724
"89","Carmacks",1996,7.15757870094892,8.88569671468572,11.3561732776483,7.31981617280186,9.17698859265366,11.472258479533
"90","Lower Mainstem",1996,11.6800636162591,14.3646192719971,17.6788734678144,9.55985042555144,11.5186595897284,13.8100073517605
"91","Middle Mainstem",1996,32.9012376046537,40.6113046647318,50.1548666706716,12.2697263652295,14.5250957840359,17.1457580729003
"92","Pelly",1996,9.00775801582164,11.1961979841162,13.8715151309572,4.64919216982259,6.24032473678881,8.41910712878086
"93","Stewart",1996,3.86730901131926,4.89338471757515,6.20370505766049,2.18855832163751,3.36244867413119,5.11866452728528
"94","Teslin",1996,7.05918411186872,9.24290693168353,11.9156635123548,6.36139594197432,8.2612960484843,10.854554705906
"95","Upper Lakes and Mainstem",1996,7.99972470388302,10.5345766781521,13.6488321653435,4.42046103192335,5.50709324479235,6.79942243884227
"96","White-Donjek",1996,4.89489449135509,6.29434155191554,7.88666200000681,6.92396731573987,9.01939630858011,11.7150205413001
"97","Carmacks",1997,9.59836183537769,12.0005074723774,14.9217646576339,12.3443435756998,15.38172876408,19.2164356634787
"98","Lower Mainstem",1997,19.6614830494182,23.7994867220242,29.4028769047658,9.21850119000592,10.6999149726162,12.4127954813224
"99","Middle Mainstem",1997,22.5972144709376,28.2465368792716,34.9747257720415,19.9757819461603,23.5248758063677,27.613454240351
"100","Pelly",1997,14.8586351784765,18.3392528920311,22.7307346492247,6.37000732900196,8.57390268521084,11.3686433996477
"101","Stewart",1997,4.4703654661227,5.69347532499006,7.2858424401429,3.53533813411276,5.32693826009102,8.09605978271599
"102","Teslin",1997,5.17891513007563,6.71743363808611,8.65974294797319,3.24612754682265,4.93230860743494,7.57233835396472
"103","Upper Lakes and Mainstem",1997,7.29784669812795,9.05227136089688,11.408298689542,5.21552700441642,6.43195040886081,8.02626715801343
"104","White-Donjek",1997,8.43731018671228,10.4117013564976,13.031458094339,2.91761209094498,3.99223743165325,5.44244169285611
"105","Carmacks",1998,12.7739485088821,15.8773096850991,19.8707154159298,4.2673684467333,6.7252360374464,10.2475359603024
"106","Lower Mainstem",1998,23.7580094048719,29.1073973047242,36.17292261067,1.1969490803375,1.89157161765881,3.00951563813033
"107","Middle Mainstem",1998,26.976984156781,33.1054928928918,40.9760158975111,1.44645983452471,1.9633443670433,2.6525124027135
"108","Pelly",1998,18.4894720891874,23.0369573796025,28.4272805469532,6.13551598366741,7.50400685599857,9.14407936174577
