year,population,return_temp
2007,Stewart,12.41196844
2007,Teslin,14.94497542
2007,UpperMainstem,16.25234928
2007,White-Donjek,15.25708489
2008,Carmacks,15.70489747
2008,LowerMainstem,12.43113536
2008,MiddleMainstem,14.46377352
2008,Pelly,13.42327759
2008,Stewart,10.33213676
2008,Teslin,13.09413211
2008,UpperMainstem,16.19881426
2008,White-Donjek,12.39096542
2009,Carmacks,16.67473542
2009,LowerMainstem,12.22246634
2009,MiddleMainstem,15.97093986
2009,Pelly,13.68013735
2009,Stewart,11.54729386
2009,Teslin,14.38343019
2009,UpperMainstem,16.75020981
2009,White-Donjek,12.28891264
2010,Carmacks,16.47676584
2010,LowerMainstem,13.23129917
2010,MiddleMainstem,17.37660259
2010,Pelly,14.26659573
2010,Stewart,12.69951398
2010,Teslin,15.13136837
2010,UpperMainstem,17.46779071
2010,White-Donjek,13.71771263
2011,Carmacks,15.2820533
2011,LowerMainstem,14.67201631
2011,MiddleMainstem,17.55245061
2011,Pelly,14.88515294
2011,Stewart,12.38218089
2011,Teslin,15.29914356
2011,UpperMainstem,18.60045098
2011,White-Donjek,15.49311437
2012,Carmacks,15.30548333
2012,LowerMainstem,15.00601879
2012,MiddleMainstem,17.06807975
2012,Pelly,14.94193652
2012,Stewart,12.46437687
2012,Teslin,15.27977173
2012,UpperMainstem,18.39882548
2012,White-Donjek,15.33115857
