"year","Population","water_temp","prop_4","prop_5","prop_6","prop_7","Mig_temp_returns"
1999,"Pelly",16.875,0.119158576567511,0.419342198917066,0.461499224515422,0,15.7323411637636
2000,"Pelly",14.2,0.312396260312626,0.687603739687374,0,0,15.9368168083587
2001,"Pelly",11.25,0,0,0,1,14.375
2002,"Pelly",16,0.901911067123467,0,0.0980889328765325,0,14.7084816170689
2003,"Pelly",15,0.451039966729456,0.134164671851321,0.406399998174646,0.00839536324457703,14.0357244006043
2004,"Pelly",15.494,0,0.704037800159261,0.239974841041371,0.0559873587993677,15.1392238579266
2005,"Pelly",16.138,0.15812205106782,0.300281614999739,0.541596333932442,0,14.3819557680583
2006,"Pelly",14.74475,0.0310531445658169,0.391222302722639,0.563072435789818,0.0146521169217256,14.8936870839301
2007,"Pelly",12.75,0.0155162257638684,0.309211694121113,0.648525515552813,0.0267465645622063,15.4026770551514
2008,"Pelly",14.375,0.0509478836483397,0.206817299104228,0.683077465950972,0.0591573512964603,13.3732412044184
2009,"Pelly",15.3333333333333,0.0117790405983643,0.451787093629423,0.530655082484047,0.00577878328816642,13.606750991816
2010,"Pelly",14.875,0.075220890921999,0.63613527031361,0.288643838764391,0,14.2817889871226
2011,"Pelly",13.8308333333333,0.106275561300803,0.516458815362924,0.377265623336273,0,14.8619102604042
2012,"Pelly",15.6185,0.0961002130136838,0.542453017319599,0.350625440483922,0.0108213291827955,15.0290581865652
1985,"Stewart",14.25,0.0869142753583194,0.679649588405154,0.233436136236527,0,14.5661167773006
1986,"Stewart",13,0.0798809938719039,0.56792484577343,0.352194160354666,0,15.1393826607545
1987,"Stewart",12.75,0,0.719611570196927,0.280388429803073,0,14.3691260329431
1988,"Stewart",14,0,0.188689201923352,0.811310798076648,0,14.1089455867784
1989,"Stewart",14,0.26357238494253,0.271989009536949,0.46443860552052,0,14.4827877561558
1990,"Stewart",14.375,0.0767604431742172,0.337045783166301,0.544582091901076,0.0416116817584061,13.4634102564597
1991,"Stewart",15.3333333333333,0.18065780223353,0.145949020318212,0.558679726912982,0.114713450535277,14.6107703539856
1992,"Stewart",15,0,0.17422401405734,0.82577598594266,0,14.7522672042172
1993,"Stewart",12.75,0.0500824926446369,0.809748199853001,0.140169307502362,0,15.019892991611
1994,"Stewart",14.425,0.113860003662387,0.175880767810644,0.58851081426349,0.121748414263478,14.201845690557
1995,"Stewart",15.5,0.371741333715584,0,0.628258666284416,0,13.3933998910072
1996,"Stewart",11.95,0,0.517597429698359,0.482402570301642,0,13.5845453280743
1997,"Stewart",15,0.0342814812723565,0.521256067612524,0.444462451115119,0,15.1733260773897
1998,"Stewart",14.7,0.199308799661766,0.424864491420802,0.338756068288964,0.0370706406284672,15.2976203548368
1999,"Stewart",16.875,0.105192182828432,0.419363008550408,0.47544480862116,0,15.8803899527142
2000,"Stewart",13.9,0.401829017833625,0.590781969935131,0,0.00738901223124365,16.0536418819898
2001,"Stewart",11.3333333333333,0.0319817077996394,0.370596214423304,0.597422077777056,0,12.6982474866533
2002,"Stewart",16,0.301479630714557,0.362757651889315,0.335762717396127,0,11.8550236263095
2003,"Stewart",14.5,0.0296024343994023,0.349717802861478,0.597163081767807,0.0235166809713125,11.8869316907964
2004,"Stewart",15.777625,0,0.758159650170122,0.241840349829878,0,12.5604600874575
2005,"Stewart",16.2764444444444,0.137819533227093,0.293080964938117,0.56909950183479,0,12.3556465917329
2006,"Stewart",11.5,0.0774649817971276,0.231415614984662,0.661245747316689,0.0298736559015213,13.8352250500397
2007,"Stewart",13.25,0,0.654846760162523,0.345153239837477,0,13.5837531061354
2008,"Stewart",10.6666666666667,0.0482231501172488,0.0305006497717996,0.887648245657759,0.0336279544531931,9.80155337934002
