"year","population","water_temp"
1992,"Teslin",17.2485185882353
1992,"UpperMainstem",18.3785083529412
1992,"White-Donjek",17.1954433939394
1993,"Carmacks",16.3466268235294
1993,"LowerMainstem",14.0823529411765
1993,"MiddleMainstem",16.8613327058824
1993,"Pelly",15.0966268235294
1993,"Stewart",15.0966268235294
1993,"Teslin",15.4789797647059
1993,"UpperMainstem",17.5289797647059
1993,"White-Donjek",14.6705882352941
1994,"Carmacks",15.1911764705882
1994,"LowerMainstem",14.0019918529412
1994,"MiddleMainstem",14.8852941176471
1994,"Pelly",14.3147058823529
1994,"Stewart",14.2676470588235
1994,"Teslin",14.1156057575758
1994,"UpperMainstem",15.9343117647059
1994,"White-Donjek",14.1533820588235
1995,"Carmacks",15.7010658647059
1995,"LowerMainstem",14.0611493470588
1995,"MiddleMainstem",16.1682195058824
1995,"Pelly",15.2261256411765
1995,"Stewart",15.1455727705882
1995,"Teslin",15.7010658647059
1995,"UpperMainstem",16.2516041529412
1995,"White-Donjek",14.7765503411765
1996,"Carmacks",15.2358907058824
1996,"LowerMainstem",12.5365077882353
1996,"MiddleMainstem",15.5650804176471
1996,"Pelly",14.5344447117647
1996,"Stewart",14.7226800058824
1996,"Teslin",14.5344447117647
1996,"UpperMainstem",15.9557888235294
1996,"White-Donjek",13.6076700060606
1997,"Carmacks",16.6692446823529
1997,"LowerMainstem",15.5006761882353
1997,"MiddleMainstem",16.6913031529412
1997,"Pelly",16.5291176235294
1997,"Stewart",16.5933155647059
1997,"Teslin",16.5933155647059
1997,"UpperMainstem",16.3134681411765
1997,"White-Donjek",16.1575864470588
1998,"Carmacks",15.4615563264706
1998,"LowerMainstem",13.3597523935294
1998,"MiddleMainstem",12.8872497311765
1998,"Pelly",15.6905649188235
1998,"Stewart",16.2747272970588
1998,"Teslin",16.0770445617647
1998,"UpperMainstem",10.4367338235294
1998,"White-Donjek",14.8139153709091
1999,"Carmacks",15.9913463062424
1999,"LowerMainstem",16.1955834596471
1999,"MiddleMainstem",15.5373361207647
1999,"Pelly",16.0030420031176
1999,"Stewart",16.0030420031176
1999,"Teslin",16.0030420031176
1999,"UpperMainstem",14.7665887986471
1999,"White-Donjek",16.1378208252353
2000,"Carmacks",16.2622169163496
2000,"LowerMainstem",15.6498249090745
2000,"MiddleMainstem",16.1829611451254
2000,"Pelly",16.2489667724346
2000,"Stewart",16.2539963140768
2000,"Teslin",16.2780766043098
2000,"UpperMainstem",15.4102612294118
2000,"White-Donjek",16.1504014407269
2001,"Carmacks",14.0767697058824
2001,"LowerMainstem",13.7532402941176
2001,"MiddleMainstem",15.1738451470588
2001,"Pelly",13.8561814705882
2001,"Stewart",13.9427324242424
2001,"Teslin",14.4255585294118
2001,"UpperMainstem",14.4384335
2001,"White-Donjek",13.8561814705882
2002,"Carmacks",15.0195094117647
2002,"LowerMainstem",14.3235294117647
2002,"MiddleMainstem",15.1204045882353
2002,"Pelly",14.9261675294118
2002,"Stewart",14.9827941764706
2002,"Teslin",15.0195094117647
2002,"UpperMainstem",16.1477793333333
2002,"White-Donjek",14.8462980588235
2003,"Carmacks",16.098575
2003,"LowerMainstem",13.793075
2003,"MiddleMainstem",16.4328725
2003,"Pelly",15.8938745454545
2003,"Stewart",15.821915
2003,"Teslin",15.683585
2003,"UpperMainstem",15.9487175
