"Population","Year","rearing_temp","rearing_prcp","WeeklyMigtemp_t0","Breakup_day","Snowpack_mean","spawning_temp","total_spawning_prcp","Winter_SST","Summer_SST","discharge","Pdischarge","Pink_total","Chum_total","Wintering_temp","winter_length","max_spawning_prcp","rearing_prcp_max","GDD5"
"Middle Mainstem",1996,11.7909899764333,215.86910287132,16.64238608,124,144.66145923884,8.69505154293093,163.497969212726,2.00529352522485,7.16021915737557,4020,329470.588235294,267.9,115.1650486,-15.5089898873528,226.5,84.0203176414894,107.42672606028,1327.93419647681
"Middle Mainstem",1997,11.1518043881833,115.423324497379,17.65271216,128,130.205009095832,10.4108122865939,110.813287480784,0.970644898082402,5.42421545448222,4810,436628.409896158,141.7,113.9506684,-10.8646146073349,219.125,48.6332843318828,54.0754966201649,1266.3656579256
"Middle Mainstem",1998,11.4467704553667,181.792143414862,13.656,126,78.9937400110221,9.09240383082565,70.0064192830775,3.27961344833834,6.85224456271687,3080,397400.766725526,223.4,133.7195502,-14.9459897273425,229.625,24.0314842315259,61.8798116755599,1214.00242759654
"Middle Mainstem",1999,10.0109136256967,274.488017279119,16.2227818816667,128,140.546144460341,10.0702901317186,158.825001014153,2.1139667378329,6.12173854095349,3970,436628.409896158,177.9,120.6152433,-11.2451763494933,227.625,58.3213225672314,106.984802998101,932.481046243741
"Middle Mainstem",2000,11.4737604801333,214.741344982057,16.3423056,132,88.6829546549707,8.20518797423108,226.995116777673,3.58086559724616,7.57510038648827,6150,439422.919270789,242.4,135.5352607,-10.6809210909498,233.375,115.906795924195,110.939804593532,1191.83709246648
"Middle Mainstem",2001,10.30572914281,204.88294782387,15.64943,127,129.300294213956,10.027386553282,147.391791917863,2.93157277266349,8.18849586850203,6390,487088.235294118,182.8,143.1787787,-14.7624922955069,224.5,59.2175889829743,86.3105775308879,1168.73983236128
"Middle Mainstem",2002,11.11694860598,170.386245708387,16.1068511428571,125,80.8376753867957,8.9926390048397,136.141626652032,3.11763718185655,9.17784988246678,3930,350970.588235294,290.1,131.3057068,-10.3026923883129,228,77.5046082033756,77.7432283988686,1270.58458593802
"Middle Mainstem",2003,13.2033691167667,103.553361932985,17.3666,119,146.80359562302,8.54772639247658,111.885816170286,2.01096694951626,8.01807427406311,4450,397000,118.1,143.5614929,-14.0105938079347,215.5,56.1880389370451,51.5934503778291,1435.6120432795
"Middle Mainstem",2004,11.4563929406333,253.485036936315,18.8141666666667,131,166.793942394435,9.15178992920106,118.146290003761,1.83269147326138,7.03418687821011,4080,407878.787878788,228.4,130.8848695,-11.7086161834357,216.375,53.5394840786282,107.622057113552,1483.83929043458
"Middle Mainstem",2005,11.17410416705,174.006683093281,17.6988,124,90.3144742314706,9.73290823887316,138.999145235231,0.930934010536917,8.30068897617899,4900,436441.176470588,123.4,118.1742491,-12.2246561059908,224.125,57.0679050804085,72.2115897335183,1311.80374900106
"Middle Mainstem",2006,12.0229946546667,179.026670035672,16.32325,125,88.2466532561977,9.42276417136777,110.502389883488,1.10648982250412,6.84815793804788,4780,481264.705882353,189.7,145.4959184,-16.1770513792883,223.625,55.3830167404433,74.8328549718008,1339.58219447353
"Middle Mainstem",2007,9.92285435094333,261.823601346714,18.4,123,125.104592375369,9.94988541462684,126.93495775503,1.36249980852583,6.96823974781566,5470,369151.515151515,155.8,131.8277851,-13.5993079501916,220.375,62.5845741880365,100.315821229195,1197.20266754034
"Middle Mainstem",2008,12.0116397195333,177.977564103309,15.8333333333333,120,138.92563683984,8.58855566207811,197.290251709575,1.75392825236782,6.87396429834554,5670,412441.176470588,214,123.904235,-15.8426257600486,224.25,94.6437299498607,89.1780460455392,1434.18385977206
"Middle Mainstem",2009,11.9286684736667,240.20727924285,17.5275703714286,127,125.353008684527,10.0296711462086,166.806415417767,0.625193314172933,6.27358668538683,3990,416617.647058824,116.2,136.2527179,-10.4684861431132,221.875,83.6709067874912,84.4689101498385,1425.1959914594
"Middle Mainstem",2010,10.92389850383,305.898756007965,16.5859151714286,122,131.123488703898,9.89475457570041,168.181263195077,1.33095818533437,6.37799126474897,5070,360000,367.4,146.6062529,-14.3478023953533,226.75,82.7241913582234,137.044829616016,1296.01675460305
"Middle Mainstem",2011,11.1609139049,249.860268117602,15.3393333333333,135,127.722287550103,9.11165386831273,155.505651794996,2.53006240339,7.32964364946752,6430,457264.705882353,158.2,144.186359,-12.3991481970708,225.125,85.8083486309986,90.5624364346358,1311.88627230305
"Middle Mainstem",2012,13.0386989622667,258.913094416836,15.4348333333333,122,134.526408092916,9.53344951486755,170.181393892682,3.78524192873254,8.20223649530019,6650,488500,299.2,157.2126108,-15.9831080549155,222.25,105.233775909039,126.36323012231,1491.45331853291
"Pelly",1985,10.1464286606467,208.411969836871,16.5,129,200.072378674252,5.06700087579651,222.177511258641,2.64281576477556,6.28753724939006,6330,547411.764705882,112.4,111.9554261,-14.2435971483713,228,93.9848183815716,89.9217813917047,1055.15636003009
"Pelly",1986,9.71862585669667,181.880808454476,15.8333333333333,122,161.245788072864,5.60929840970314,170.343104816642,2.01999420537931,7.01144032482652,6160,493647.058823529,179.6,99.0824594,-12.4663128200205,220.269230769231,89.9929437644448,74.270246785596,1028.59480340506
"Pelly",1987,10.3798259326933,218.328147321679,15,119,129.804697403028,6.03763205021017,175.550094329769,2.01936972686697,6.68938278496841,5230,467500,159.2,113.6078584,-11.483332499073,211.5,73.1498075632639,134.538036735247,1103.18653615797
"Pelly",1988,12.7763184769667,117.905350075997,16.2,120,169.39206466457,5.75357187165007,155.859982388561,2.03775415899097,7.4749868184616,6730,492323.529411765,218.8,105.296214,-15.7218416243255,212.807692307692,58.6047725236871,48.7496370967295,1477.68484924089
"Pelly",1989,11.09301664753,202.49476509705,15.694744,120,146.939348919728,7.3106222282587,121.164297690825,1.80915078020292,8.32800957848485,3720,538794.117647059,122.8,92.41229349,-14.7454120952972,221.115384615385,50.9957530101254,81.9668353110268,1241.65426420659
"Pelly",1990,10.1981891894,253.549916607168,16.190795,129,216.699237564172,6.62984338812302,264.512696168395,1.74842066292648,5.78959223728824,4670,503823.529411765,188.2,122.8190881,-16.2088779934223,222.576923076923,127.059816287108,132.568776644751,1155.28484490605
"Pelly",1991,10.4408254534067,159.675232830347,17.669165,119,365.512106339671,5.62028361171518,248.093712103766,2.50868562640001,7.41047687806945,5410,503058.823529412,165.5,137.4188704,-12.2343840497039,228.807692307692,109.723887295142,83.4027552893104,1027.71005370461
