"year","population","water_temp"
2000,"Pelly",16.7525215
2000,"Stewart",16.682989
2000,"Teslin",16.870102
2000,"UpperMainstem",15.9996926333333
2000,"White-Donjek",17.3316986666667
2001,"Carmacks",15.402998
2001,"LowerMainstem",14.6117833333333
2001,"MiddleMainstem",15.64943
2001,"Pelly",14.6117833333333
2001,"Stewart",14.6117833333333
2001,"Teslin",15.1716633333333
2001,"UpperMainstem",16.58273
2001,"White-Donjek",14.6117833333333
2002,"Carmacks",15.787798
2002,"LowerMainstem",14.3333333333333
2002,"MiddleMainstem",16.1068511428571
2002,"Pelly",15.4669136666667
2002,"Stewart",15.8181125714286
2002,"Teslin",15.787798
2002,"UpperMainstem",17.3791426666667
2002,"White-Donjek",15.4623556666667
2003,"Carmacks",17.3666
2003,"LowerMainstem",15.79886
2003,"MiddleMainstem",17.3666
2003,"Pelly",17.3666
2003,"Stewart",17.3666
2003,"Teslin",17.3666
2003,"UpperMainstem",17.3666
2003,"White-Donjek",17.3666
2004,"Carmacks",18.2471666666667
2004,"LowerMainstem",16.4033333333333
2004,"MiddleMainstem",18.8141666666667
2004,"Pelly",18.0902
2004,"Stewart",18.0902
2004,"Teslin",18.0902
2004,"UpperMainstem",18.7863333333333
2004,"White-Donjek",17.5405
2005,"Carmacks",17.6825
2005,"LowerMainstem",17.5404
2005,"MiddleMainstem",17.6988
2005,"Pelly",17.30125
2005,"Stewart",17.6147
2005,"Teslin",17.6792
2005,"UpperMainstem",17.4909
2005,"White-Donjek",17.5404
2006,"Carmacks",16.229
2006,"LowerMainstem",15.4450833333333
2006,"MiddleMainstem",16.32325
2006,"Pelly",16.279
2006,"Stewart",14.7959998996667
2006,"Teslin",16.6047
2006,"UpperMainstem",16.0566666666667
2006,"White-Donjek",16.33875
2007,"Carmacks",19
2007,"LowerMainstem",17
2007,"MiddleMainstem",18.4
2007,"Pelly",16.8333333333333
2007,"Stewart",16.8
2007,"Teslin",17.6666666666667
2007,"UpperMainstem",17.9343692
2007,"White-Donjek",18.5
2008,"Carmacks",16.4
2008,"LowerMainstem",15.75
2008,"MiddleMainstem",15.8333333333333
2008,"Pelly",16.0833333333333
2008,"Stewart",16
2008,"Teslin",16.1666666666667
2008,"UpperMainstem",14.8333333333333
2008,"White-Donjek",16.3
2009,"Carmacks",17.3847132285714
2009,"LowerMainstem",17.1988321
2009,"MiddleMainstem",17.5275703714286
2009,"Pelly",17.3847132285714
2009,"Stewart",16.5833333333333
2009,"Teslin",17.6154987666667
2009,"UpperMainstem",17.4488321
2009,"White-Donjek",17.1988321
2010,"Carmacks",16.6502343666667
2010,"LowerMainstem",15.9859151714286
2010,"MiddleMainstem",16.5859151714286
2010,"Pelly",16.4144866
2010,"Stewart",16.6502343666667
2010,"Teslin",16.4144866
2010,"UpperMainstem",16.4002343666667
2010,"White-Donjek",15.9859151714286
2011,"Carmacks",15.0760833333333
2011,"LowerMainstem",14.7408333333333
2011,"MiddleMainstem",15.3393333333333
2011,"Pelly",14.7408333333333
2011,"Stewart",14.6309166666667
2011,"Teslin",15.02825
2011,"UpperMainstem",15.1619166666667
2011,"White-Donjek",15.02825
2012,"Carmacks",15.922
2012,"LowerMainstem",16.3356666666667
2012,"MiddleMainstem",15.4348333333333
2012,"Pelly",16.3828
2012,"Stewart",16.1085
2012,"Teslin",16.3828
2012,"UpperMainstem",15.7585
2012,"White-Donjek",16.3828
2013,"Carmacks",17.12025
2013,"LowerMainstem",16.4132
2013,"MiddleMainstem",17.1695
2013,"Pelly",16.4325833333333
2013,"Stewart",15.7115
2013,"Teslin",16.4132
2013,"UpperMainstem",17.5156666666667
2013,"White-Donjek",16.4325833333333
2014,"Carmacks",16.469
2014,"LowerMainstem",15.287
2014,"MiddleMainstem",16.0925
2014,"Pelly",15.5541666666667
2014,"Stewart",13.1466666666667
2014,"Teslin",15.5541666666667
2014,"UpperMainstem",16.34
2014,"White-Donjek",14.5975
2015,"Carmacks",17.5366666666667
2015,"LowerMainstem",16.9291666666667
2015,"MiddleMainstem",17.497
2015,"Pelly",17.6575
2015,"Stewart",16.2375
2015,"Teslin",17.6575
2015,"UpperMainstem",17.0875
2015,"White-Donjek",16.9858333333333
2016,"Carmacks",17.9601
2016,"LowerMainstem",16.7263333333333
2016,"MiddleMainstem",17.9159166666667
2016,"Pelly",17.2641
2016,"Stewart",15.9840833333333
2016,"Teslin",17.4268333333333
2016,"UpperMainstem",17.47525
2016,"White-Donjek",17.7899166666667
2017,"Carmacks",17.9683333333333
2017,"LowerMainstem",16.8405833333333
2017,"MiddleMainstem",18.6033
2017,"Pelly",17.8364
2017,"Stewart",16.4502
2017,"Teslin",17.575
2017,"UpperMainstem",18.3898333333333
2017,"White-Donjek",18.3324
2018,"Carmacks",17.3433333333333
2018,"LowerMainstem",16.0814166666667
2018,"MiddleMainstem",17.6576
2018,"Pelly",16.5606666666667
2018,"Stewart",15.6704166666667
2018,"Teslin",16.5568333333333
2018,"UpperMainstem",17.396
2018,"White-Donjek",16.5688333333333
2019,"Carmacks",19.25375
2019,"LowerMainstem",18.6795
2019,"MiddleMainstem",19.337
2019,"Pelly",19.24975
2019,"Stewart",17.58475
2019,"Teslin",19.24975
2019,"UpperMainstem",18.9518
2019,"White-Donjek",19.0595833333333
