"year","Population","water_temp","prop_4","prop_5","prop_6","prop_7","Mig_temp_returns"
2004,"Carmacks",17.9123333333333,0.041596334076487,0.512845874759834,0.377689263120584,0.0678685280430956,16.0953720221821
2005,"Carmacks",17.1866078431373,0.0592362581822669,0.199059234406053,0.724337795031706,0.0173667123799751,14.9239209425896
2006,"Carmacks",15.8581323529412,0.0580437215229162,0.387217967377968,0.501332339070347,0.0534059720287683,15.3022432635298
2007,"Carmacks",18.0727272727273,0,0.28007805871032,0.644461449631687,0.0754604916579924,15.995390649925
2008,"Carmacks",15.4264705882353,0,0.197955667024257,0.741721048327167,0.0603232846485759,16.3877008410646
2009,"Carmacks",16.175,0.0130154211964731,0.304797150817941,0.682187427985586,0,17.0013678742314
2010,"Carmacks",16.3647058823529,0.0633409641945243,0.679990710122211,0.248922686068291,0.00774563961497398,17.2344922614194
2011,"Carmacks",14.4047866666667,0.101155930769141,0.45656678495424,0.432890432196869,0.00938685207974916,17.18674863405
2012,"Carmacks",15.7944246575342,0.0493961692143663,0.509273687283691,0.431616341776084,0.00971380172585843,16.887344155909
1985,"Lower Mainstem",15.2272727272727,0.0156093265629684,0.0979874154921874,0.886403257944844,0,15.8460517544997
1986,"Lower Mainstem",15.1612903225806,0.00768299119763191,0.745967709533308,0.24634929926906,0,16.2264653556292
1987,"Lower Mainstem",14,0.176555514376657,0.357123707793352,0.46632077782999,0,15.4129607684003
1988,"Lower Mainstem",13.0416666666667,0.098944756864282,0.482342619516438,0.310903498543597,0.107809125075683,14.3235793442782
1989,"Lower Mainstem",13.95,0.165391216174435,0.454853067636026,0.277208795520838,0.102546920668701,13.8265727698344
1990,"Lower Mainstem",14.362152962963,0.256686284172709,0.159276427723802,0.534351162410586,0.0496861256929035,12.9943154889887
1991,"Lower Mainstem",16.0434782608696,0.0329188671515766,0.362894564800193,0.589500211408959,0.0146863566392716,13.960656896502
1992,"Lower Mainstem",16.8387096774194,0.146732954492463,0.513297827371955,0.295190470764025,0.0447787473715576,14.1071706489162
1993,"Lower Mainstem",14.0823529411765,0.0638784297501024,0.125313240619728,0.666869428159926,0.143938901470244,16.002709704283
1994,"Lower Mainstem",13.965625,0.016557307633187,0.177212859921261,0.645964252429647,0.160265580015905,16.2819594498632
1995,"Lower Mainstem",14.1267877818182,0.0131663916194876,0.278304459063396,0.708529149317117,0,14.5521967773631
1996,"Lower Mainstem",11.9857142857143,0.118755513139343,0.498192941749722,0.383051545110935,0,14.2587758952613
1997,"Lower Mainstem",15.1931034482759,0.0132764224421494,0.444102773536105,0.542620804021745,0,14.0268679845467
1998,"Lower Mainstem",12.9188461538462,0.18713483055298,0.548755422930276,0.210166503194988,0.0539432433217561,14.5804850333952
1999,"Lower Mainstem",16.4445,0.169833109888354,0.405874368409295,0.415105814232371,0.00918670746997974,16.1468536979008
2000,"Lower Mainstem",17,0.175455688920666,0.302519896833775,0.520068242557759,0.00195617168779974,15.95133810167
2001,"Lower Mainstem",13.5555555555556,0.0250837021384894,0.732665551132209,0.242250746729301,0,15.5876963469943
2002,"Lower Mainstem",14.3235294117647,0.181829711214207,0.485710219368412,0.332460069417381,0,15.8268670496842
2003,"Lower Mainstem",13.7956,0.0283834177193055,0.378844992704718,0.592771589575977,0,15.3642485230582
2004,"Lower Mainstem",16.2237058823529,0,0.671593878903591,0.243731208620593,0.0846749124758157,15.393782736013
2005,"Lower Mainstem",17.0542941176471,0.0916470216626739,0.465640557980659,0.384200593644649,0.0585118267120182,15.0820835892929
2006,"Lower Mainstem",15.2155735294118,0.10828339230699,0.150475383949519,0.722395225913356,0.0188459978301353,15.8798890650438
2007,"Lower Mainstem",16.5612903225806,0,0.603755699797105,0.396244300202895,0,16.0237444967982
2008,"Lower Mainstem",15.0882352941176,0.297449881654862,0.374232511730236,0,0.328317606614901,16.0354319666958
2009,"Lower Mainstem",15.4833333333333,0.00988346230049099,0.242058492797755,0.748058044901754,0,15.8732453593456
2010,"Lower Mainstem",15.548,0.0330889540324739,0.601749990324565,0.365161055642961,0,16.2227267611843
2011,"Lower Mainstem",14.2396133333333,0.0870132632809574,0.554425397901165,0.33480350042163,0.0237578383962469,16.3889321251285
